36E;H;20;BSC  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20030317
76E;A;8;BSC  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20030317
11E;H;20;BSCV _HARD                _000;REFERENCE DU HARD                                                                                   ;20070725
91E;H;10;BSCV _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20070725
21E;A;3;BSCV _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20070725
81E;A;22;BSCV _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20070725
31E;H;20;BSCV _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20070725
71E;A;8;BSCV _CLE                 _000;CLE APPLICATIVE                                                                                     ;20070725
11Y;H;20;BSE  _HARD                _000;REFERENCE DU HARD                                                                                   ;20090923
91Y;H;10;BSE  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090923
21Y;A;3;BSE  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090923
81Y;A;22;BSE  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090923
31Y;H;20;BSE  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090923
71Y;A;8;BSE  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090923
14B;H;20;BSI  _HARD                _000;REFERENCE DU HARD                                                                                   ;20040511
94B;H;10;BSI  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040511
24B;A;3;BSI  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040511
84B;A;22;BSI  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040511
34B;H;20;BSI  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040511
74B;A;8;BSI  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040511
16B;H;20;BSM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20030307
96B;H;10;BSM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20030307
26B;A;3;BSM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20030307
86B;A;22;BSM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20030307
36B;H;20;BSM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20030307
76B;A;8;BSM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20030307
11F;H;20;BSOPT_HARD                _000;REFERENCE DU HARD                                                                                   ;20071018
91F;H;10;BSOPT_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20071018
21F;A;3;BSOPT_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20071018
81F;A;22;BSOPT_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20071018
31F;H;20;BSOPT_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20071018
71F;A;8;BSOPT_CLE                 _000;CLE APPLICATIVE                                                                                     ;20071018
12D;H;20;BSP  _HARD                _000;REFERENCE DU HARD                                                                                   ;20091116
92D;H;10;BSP  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20091116
22D;A;3;BSP  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20091116
82D;A;22;BSP  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20091116
32D;H;20;BSP  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20091116
72D;A;8;BSP  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20091116
18C;H;20;BSR  _HARD                _000;REFERENCE DU HARD                                                                                   ;20090305
98C;H;10;BSR  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090305
28C;A;3;BSR  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090305
88C;A;22;BSR  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090305
38C;H;20;BSR  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090305
78C;A;8;BSR  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090305
19L;H;20;BTC  _HARD                _000;REFERENCE DU HARD                                                                                   ;20060302
99L;H;10;BTC  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20060302
29L;A;3;BTC  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20060302
89L;A;22;BTC  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20060302
39L;H;20;BTC  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20060302
79L;A;8;BTC  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20060302
16K;H;20;BTE  _HARD                _000;REFERENCE DU HARD                                                                                   ;20040524
96K;H;10;BTE  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040524
26K;A;3;BTE  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040524
86K;A;22;BTE  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040524
36K;H;20;BTE  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040524
76K;A;8;BTE  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040524
14X;H;20;BTEL _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94X;H;10;BTEL _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24X;A;3;BTEL _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84X;A;22;BTEL _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34X;H;20;BTEL _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74X;A;8;BTEL _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
19J;H;20;BTT  _HARD                _000;REFERENCE DU HARD                                                                                   ;20060302
99J;H;10;BTT  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20060302
29J;A;3;BTT  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20060302
89J;A;22;BTT  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20060302
39J;H;20;BTT  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20060302
79J;A;8;BTT  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20060302
14D;H;20;BVA  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94D;H;10;BVA  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24D;A;3;BVA  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84D;A;22;BVA  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34D;H;20;BVA  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74D;A;8;BVA  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
18S;H;20;CAAR _HARD                _000;REFERENCE DU HARD                                                                                   ;20050617
98S;H;10;CAAR _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20050617
28S;A;3;CAAR _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20050617
88S;A;22;CAAR _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20050617
38S;H;20;CAAR _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20050617
78S;A;8;CAAR _CLE                 _000;CLE APPLICATIVE                                                                                     ;20050617
18E;H;20;CAF  _HARD                _000;REFERENCE DU HARD                                                                                   ;20090305
98E;H;10;CAF  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090305
28E;A;3;CAF  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090305
88E;A;22;CAF  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090305
38E;H;20;CAF  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090305
78E;A;8;CAF  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090305
18F;H;20;CAV  _HARD                _000;REFERENCE DU HARD                                                                                   ;20090305
98F;H;10;CAV  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090305
28F;A;3;CAV  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090305
88F;A;22;CAV  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090305
38F;H;20;CAV  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090305
78F;A;8;CAV  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090305
14G;H;20;CDC  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94G;H;10;CDC  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24G;A;3;CDC  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84G;A;22;CDC  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34G;H;20;CDC  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74G;A;8;CDC  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
16G;H;20;CDP  _HARD                _000;REFERENCE DU HARD                                                                                   ;20030307
96G;H;10;CDP  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20030307
26G;A;3;CDP  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20030307
86G;A;22;CDP  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20030307
36G;H;20;CDP  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20030307
76G;A;8;CDP  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20030307
18T;H;20;CIG  _HARD                _000;REFERENCE DU HARD                                                                                   ;20090305
98T;H;10;CIG  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090305
28T;A;3;CIG  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090305
88T;A;22;CIG  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090305
38T;H;20;CIG  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090305
78T;A;8;CIG  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090305
18G;H;20;CLAR _HARD                _000;REFERENCE DU HARD                                                                                   ;20040119
98G;H;10;CLAR _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040119
28G;A;3;CLAR _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040119
88G;A;22;CLAR _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040119
38G;H;20;CLAR _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040119
78G;A;8;CLAR _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040119
14J;H;20;CLIM _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94J;H;10;CLIM _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24J;A;3;CLIM _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84J;A;22;CLIM _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34J;H;20;CLIM _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74J;A;8;CLIM _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
14K;H;20;CMB  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
